Year,Place,P (Blank or P),Governing Body,Type of Governing Body,5+,Description,Verified,Specific,Reception,Protection,Contact Through Trade,Partial Emancipation,Symbolic,Full Emancipation,Invited,Success Altering Country,Bribe Ends Expulsion,Leader Ends Expulsion,Conquer Country,Self Governing,Noted Holding IP,Brought in for Economic Growth,Laws Protecting Israel/Jews
1200 BC,Egypt,P,,,,,,,,,,,,,,,,,,,,,
740 BC,Samaria,P,,,,,,,,,,,,,,,,,,,,,
724 BC,Jerusalem,P,,,,,,,,,,,,,,,,,,,,,
586 BC,Jerusalem,P,,,,,,,,,,,,,,,,,,,,,
586 BC,Achaemenid Persian Empire,,,,,"Neo-Babylonian Empire—were freed from the Babylonian captivity following the Persian conquest of Babylon. After their release, the Persian king Cyrus the Great issued a proclamation known as the Edict of Cyrus that enabled the freed Jewish populace, exiled from Judah, to return to Jerusalem and the Land of Judah, which had begun to function as a self-governing Jewish province under the Achaemenid Persian Empire. According to the books of Ezra–Nehemiah, a number of decades later in 538 BCE, the Jews in Babylon were allowed to return to the Land of Judah, due to Cyrus's decree. Initially, around 50,000 Jews returned to the Land of Judah following the decree of Cyrus as described in Ezra, whereas most remained in Babylon.[3][4] Later, an unknown number of exiles returned from Babylon with Ezra himself.[5] The return of the deportees to Judah during the next 110 years is known as the return to Zion, an event by which Jews ever since have been inspired.[| Cyrus decreed that all Jews in exile were free to return to Jerusalem, though many remained in Persia.",,,,,,,,,,,,,,,,,
475 BC,Kingdom of Judah,P,,,,,,,,,,,,,,,,,,,,,
200 BC,Seleucid Empire,,,,,"King Antiochus III the Great, wanting to conciliate his new Jewish subjects, guaranteed their right to ""live according to their ancestral customs"" and to continue to practice their religion in the Temple of Jerusalem",,,0,,,,,,,,,,,,,,
175 BC,Jerusalem,P,,,,,,,,,,,,,,,,,,,,,
164 BC,Jerusalem as part of the Seleucid Empire,,,,,the Jewish revolt against the Seleucid monarchy was successful. The Temple was liberated and rededicated. The festival of Hanukkah was instituted to celebrate this event.,,,1,,,,,,,,,,,,,,
141 BC,Jerusalem,,,,,"Jews expel Greeks, Simon Thassi succeeded in expelling the Greeks from their citadel in Jerusalem. An alliance with the Roman Republic helped guarantee their independence. Simon would go on to establish an independent Hasmonean kingdom.",,,1,,,,,,,,,,,,,,
139 BC,Rome,P,,,,,,,,,,,,,,,,,,,,,
135 BC,Jerusalem,P,,,,,,,,,,,,,,,,,,,,,
124 BC,Kingdom of Judah,P,,,,,,,,,,,,,,,,,,,,,
101 BC,"Cyrenaica, Cyprus",P,,,,,,,,,,,,,,,,,,,,,
87 BC,"Cyrene, Greece",P,,,,,,,,,,,,,,,,,,,,,
66 BC,Jerusalem,P,,,,,,,,,,,,,,,,,,,,,
63 BC,Jerusalem,P,,,,,,,,,,,,,,,,,,,,,
61 BC,"Ephraim, Syria",P,,,,,,,,,,,,,,,,,,,,,
61 BC,"Lydda, Syria;",P,,,,,,,,,,,,,,,,,,,,,
61 BC,"Ramathaim, Syria",P,,,,,,,,,,,,,,,,,,,,,
53 BC,"Tarichæa, now Palestine ",P,,,,,,,,,,,,,,,,,,,,,
37 BC,Palestine,P,,,,,,,,,,,,,,,,,,,,,
30 BC,"Alexandria, Egypt",P,,,,,,,,,,,,,,,,,,,,,
19 BC,"Tiberius, Rome",P,,,,,,,,,,,,,,,,,,,,,
14 BC,Cyrene,,,,,""" The Jews of Cyrene seem to have been at odds with the local Greek population as is shown by various Roman decrees supporting the rights of Cyrenean Jewry (I Macc. 15:23). Though under the Ptolemies Jewish civic equality (ὶσονομία) had been guaranteed, the Jews of Cyrene were persecuted by the local population and prevented from sending their donations to the Temple at Jerusalem. Only when Augustus and Marcus Agrippa intervened in 14 B.C.E. were these rights fully restored (Ant., 16:160ff.). (Jewish Virtual Library)",,,,,,,,,,,,,,,,,
12 BC,Gaul,P,,,,,,,,,,,,,,,,,,,,,
5 BC,Palestine,P,,,,,,,,,,,,,,,,,,,,,
4 BC,Palestine,P,,,,,,,,,,,,,,,,,,,,,
3 BC,Egypt,P,,,,,,,,,,,,,,,,,,,,,
19,Rome,P,,,,,,,,,,,,,,,,,,,,,
30,Ctesiphon,P,,,,,,,,,,,,,,,,,,,,,
30,Batanaea,P,,,,,,,,,,,,,,,,,,,,,
30,Armenia,P,,,,,,,,,,,,,,,,,,,,,
30,Adiabene,P,,,,,,,,,,,,,,,,,,,,,
30,Babylonia,P,,,,,,,,,,,,,,,,,,,,,
31,Rome,,,,,After the death of Sejanus (31) the emperor allowed the Jews to return.,,,,,,,,,,,,,,,,,
36,"Cilicia, Italy",P,,,,,,,,,,,,,,,,,,,,,
36,Nisibis,P,,,,,,,,,,,,,,,,,,,,,
38,"Alexandria, Egypt",P,,,,,,,,,,,,,,,,,,,,,
39,"Lyons, France",,,,,"According to a medieval Jewish legend one of the three boats loaded with Jewish captives taken during the siege of Jerusalem docked at Lyon. Herod Antipas, tetrarch of Galilee, was exiled to the city by Caligula in 39 C.E. Lyon seems to have had a Jewish population in both the first and the second centuries.",,,,,,,,,,,,,,,,,
39,Jamnia,P,,,,,,,,,,,,,,,,,,,,,
39,"Antioch, Syria",P,,,,,,,,,,,,,,,,,,,,,
40,Nehardea,P,,,,,,,,,,,,,,,,,,,,,
44,Dora (Greco-Syrian city),P,,,,,,,,,,,,,,,,,,,,,
45,Judea,P,,,,,,,,,,,,,,,,,,,,,
49,"Rome, Italy",P,,,,,,,,,,,,,,,,,,,,,
50,Jerusalem,P,,,,,,,,,,,,,,,,,,,,,
50,Rome,P,,,,,,,,,,,,,,,,,,,,,
51,"Samaritis, Judea",P,,,,,,,,,,,,,,,,,,,,,
56,Jerusalem,P,,,,,,,,,,,,,,,,,,,,,
62,Armenia,P,,,,,,,,,,,,,,,,,,,,,
63,Pompeii (Greek island),P,,,,,,,,,,,,,,,,,,,,,
66,Caesarea,P,,,,,,,,,,,,,,,,,,,,,
66,Jerusalem,P,,,,,,,,,,,,,,,,,,,,,
66,"Alexandria, Egypt",P,,,,,,,,,,,,,,,,,,,,,
66,"Scythopolis, Greece",P,,,,,,,,,,,,,,,,,,,,,
67,"Antioch, Egypt",P,,,,,,,,,,,,,,,,,,,,,
67,"Bethhoron, Syria",P,,,,,,,,,,,,,,,,,,,,,
67,"Damascus, Syria",P,,,,,,,,,,,,,,,,,,,,,
67,"Ascalon, Syria",P,,,,,,,,,,,,,,,,,,,,,
70,Jerusalem,P,,,,,,,,,,,,,,,,,,,,,
71,"Antioch, Egypt",P,,,,,,,,,,,,,,,,,,,,,
72,"Alexandria, Egypt",P,,,,,,,,,,,,,,,,,,,,,
73,Masada,P,,,,,,,,,,,,,,,,,,,,,
73,Cyrenaica,P,,,,,,,,,,,,,,,,,,,,,
85,Jerusalem,P,,,,,,,,,,,,,,,,,,,,,
94,"Alexandria, Egypt",P,,,,,,,,,,,,,,,,,,,,,
95,"Rome, Italy",P,,,,,,,,,,,,,,,,,,,,,
96,"Rome, Italy ",P,,,,,,,,,,,,,,,,,,,,,
109,"Aricia, Italy",P,,,,,,,,,,,,,,,,,,,,,
115,Palestine,P,,,,,,,,,,,,,,,,,,,,,
115,Cyrenaica,P,,,,,,,,,,,,,,,,,,,,,
115,North Africa,P,,,,,,,,,,,,,,,,,,,,,
115,"Alexandria, Egypt",P,,,,,,,,,,,,,,,,,,,,,
115,Egypt,P,,,,,,,,,,,,,,,,,,,,,
116,"Oxyrhynchus, Egypt",P,,,,,,,,,,,,,,,,,,,,,
116,Cyprus (Greek island),P,,,,,,,,,,,,,,,,,,,,,
116,Seleuceia,P,,,,,,,,,,,,,,,,,,,,,
116,Media Atropatene,P,,,,,,,,,,,,,,,,,,,,,
116,Mesopotamia,P,,,,,,,,,,,,,,,,,,,,,
119,Varies,P,,,,,,,,,,,,,,,,,,,,,
132,Palestine,P,,,,,,,,,,,,,,,,,,,,,
132,Syria,P,,,,,,,,,,,,,,,,,,,,,
132,Jerusalem,P,,,,,,,,,,,,,,,,,,,,,
139,Judea (re-named ‘Aelia Capitolina’,P,,,,,,,,,,,,,,,,,,,,,
175,Syria,P,,,,,,,,,,,,,,,,,,,,,
194,Judea,P,,,,,,,,,,,,,,,,,,,,,
212,Rome,,,,,"Emperor Caracalla extends Roman citizenship to all sectors of the Empire, subject peoples. He grants benefits to property owners and makes them responsible for imperial taxes and services. Jews share in the newly granted citizenship. (JVL)",,,,,,,,,,,,,,,,,
224,Italy,P,,,,,,,,,,,,,,,,,,,,,
224,Uzebekistan,P,,,,,,,,,,,,,,,,,,,,,
224,Bukhara,P,,,,,,,,,,,,,,,,,,,,,
250,"Carthage, North Africa",P,,,,,,,,,,,,,,,,,,,,,
251,Gaul,P,,,,,,,,,,,,,,,,,,,,,
255,Cappadocia,P,,,,,,,,,,,,,,,,,,,,,
259,Nehardea,P,,,,,,,,,,,,,,,,,,,,,
315,Jerusalem,P,,,,,,,,,,,,,,,,,,,,,
325,Jerusalem,P,,,,,,,,,,,,,,,,,,,,,
327,Roman Empire,P,,,,,,,,,,,,,,,,,,,,,
330,Babylonia,P,,,,,,,,,,,,,,,,,,,,,
351,Persia,P,,,,,,,,,,,,,,,,,,,,,
358,Armenia,P,,,,,,,,,,,,,,,,,,,,,
361,Jerusalem,,,,,"Roman Emperor Julian the Apostate allows the Jews to return to ""Holy Jerusalem which you have for many years longed to see rebuilt"" and to rebuild the Temple.[relevant?] | In 361 Julian the Apostate becomes Emperor and attempts to reverse the growing Christianization of the Empire. As part of that multicultural effort Julian allows Jews to return to the City and orders the Temple rebuilt. Work on the Temple ends with Julian's death and a massive earthquake in 363 https://www.alreporter.com/2018/05/15/jerusalem-now-recognized-as-the-capital-of-israel-how-did-we-get-here/#:~:text=In%20361%20Julian%20the%20Apostate,a%20massive%20earthquake%20in%20363.  | In 361, Julian defied the Christianization that was the hallmark of his uncle’s rule and issued edicts that favored Roman cults and minimized the influence of Christianity. He even allowed heretics within the Christian world to occupy positions of ecclesiastical power. Julian’s policies were meant to weaken the power of the established Church. The Church and history would always remember him as “Julian the Apostate.” https://www.jpost.com/opinion/emperor-julian-and-the-dream-of-a-third-temple-516999#google_vignette ",,,,,,,,,,,,,,,,,
379,"Milan, Italy",P,,,,,,,,,,,,,,,,,,,,,
388,"Callinicum, Mesopotamia",P,,,,,,,,,,,,,,,,,,,,,
390,Yemen,,,,,"the Himyarite king Abu Karib led a military campaign northwards and converted to Judaism, leading to the conversion of the Himyarite kingdom to Judaism.",,,,,,,,,,,,,,,,,
395,"Corinth, Greece",P,,,,,,,,,,,,,,,,,,,,,
395,Nyssa,P,,,,,,,,,,,,,,,,,,,,,
400,"Telia, Byzantine Empire",P,,,,,,,,,,,,,,,,,,,,,
415,"Alexandria, Antioch, Egypt",P,,,,,,,,,,,,,,,,,,,,,
418,"Menorca (Magona/Port Mahon), Spain",P,,,,,,,,,,,,,,,,,,,,,
419,Palestine,P,,,,,,,,,,,,,,,,,,,,,
425,Roman Empire,P,,,,,,,,,,,,,,,,,,,,,
429,Tunisia,,,,,"Under the dominion of the Romans and (after 429) of the fairly tolerant Vandals, the Jewish inhabitants of Tunis increased and prospered to such a degree that African Church councils deemed it necessary to enact restrictive laws against them. ",,,,,,,,,,,,,,,,,
438,Jerusalem,P,,,,,,,,,,,,,,,,,,,,,
438,Jerusalem,,,,," 438 CE the Empress Eudocia removed the ban on Jews entering the city. However, following violent Christian opposition the ban was reinstated.[15] ",,,,,,,,,,,,,,,,,
439,Roman Empire,P,,,,,,,,,,,,,,,,,,,,,
451,Persia,P,,,,,,,,,,,,,,,,,,,,,
468,Babylon/Judea,P,,,,,,,,,,,,,,,,,,,,,
469,Isfahan,P,,,,,,,,,,,,,,,,,,,,,
470,Judea,P,,,,,,,,,,,,,,,,,,,,,
489,Antioch,P,,,,,,,,,,,,,,,,,,,,,
502,Babylon,,,,,"After the Jews of Babylon revolt and gain a short period of independence, the Persian King Kobad crucifies the Exilarch Mar-Zutra II on the bridge of Mahoza. | He proceeded to levy taxes and wage wars with his Jewish army. From 495 to 502 Mar Zutra II ruled with the complete support of his grandfather Rabbi Haninah. But the Persian king Kavadh I, who had been deposed during the disorder, regained his throne and destroyed Mar Zutra II’s Jewish state. https://www.jpost.com/opinion/a-jewish-kingdom-in-ancient-babylon-452113#google_vignette |   took advantage of the confusion into which Mazdak's communistic attempts had plunged Persia, to obtain by force of arms for a short time a sort of political independence for the Jews of Babylon. King Kobad, however, punished him by crucifying him on the bridge of Mahuza (c. 502). A son was born to him on the day of his death, who was also named ""Mar Zutra."" The latter did not attain to the office of exilarch, but went to the land of Israel, where he became head of the Academy of Tiberias, under the title of ""Resh Pirka"" ('Aρχιφεκίτησ), several generations of his descendants succeeding him in this office.",,,,,,,,,,,,,,,,,
502,Babylon,P,,,,,,,,,,,,,,,,,,,,,
506,"Daphne, Syria",P,,,,,,,,,,,,,,,,,,,,,
516,Yemen,,,,,"tribal unrest broke out, and Joseph Dhu Nuwas, possibly a converted Jew, led a campaign that resulted in the massacre of Christians in Najran.",,,,,,,,,,,,,,,,,
517,Varies,,,,,Christians are banned from participating in Jewish feasts as a result of the Council of Epaone.,,,,,,,,,,,,,,,,,
